title,release_date,overview,tagline,genres,keywords
Neon Winter,,"A young boy neglects his studies in hopes to join a band, much to his sister's chagrin.",,,
Flying Over Kauai,,"""Flying Over Kauai"" transports viewers on a visually breathtaking yet incredibly soothing & immersive aerial voyage over Hawaii's Garden Island. Known for its lush tropical climate and epic coastlines like the famous NaPali Coast, the island when seen from above is bursting with natural beauty & wonders - such as vibrant waterfalls, magnificent canyons and pristine beaches. This version of the film features a brand new musical composition by the Cynic Project infused with ambient nature sounds for a multi-sensory relaxation experience that is par-excellence.",Nature Relaxation - Flying Over Kauai 4K,,
The Road Within,2014-10-24,A young man with Tourette's Syndrome embarks on a road trip with his recently-deceased mother's ashes.,On the road. But a little bit off.,"Comedy, Drama","parent child relationship, road trip, tourette syndrome, woman director, cremation"
No Sleep for Percy,1955-03-11,"Little Roquefort is enjoying the music from a car-radio to the dismay of Percy Puss who is trying to sleep nearby. Percy takes off after Roquefort and manages to imprison him between the car door-frame and the window. The mouse gets free and falls on the car horn which gets stuck and is blaring loudly. Percy tears the car apart and again goes after Roquefort, and the pair wind up in a runaway car and crashes. The cat winds up in bandages and the hospital but is happy as he foresees a noiseless sleep. His dream is shattered by his hospital room-mate, Roquefort, who turns on the table radio.",,Animation,
Thunder: Stage,2018-03-23,"Live performance from British heavy metal band Thunder recorded at Cardiff Motorpoint Arena in March 2017. The show includes tracks such as 'Backstreet Symphony', 'Love Walked In' and 'Rip It Up'.",,Music,
The Truth Illusion,2022-05-16,"The Truth Illusion investigates one of the most profound questions that philosophers through the ages have tried to address. From Plato to Immanuel Kant to Gilles Deleuze, thinkers have asked: what can we prove to be the truth?  The investigation examines these questions in the context of the United States today. Is it possible, in such a deeply divided society, for people to view different ‘realities’?  The documentary by Al Jazeera’s Investigative Unit features commentary from philosophers, psychologists, social scientists and political commentators who discuss how the U.S. is now riven by radically differing views on what is real, and what is not.  ‘The Truth Illusion’ looks at how those deepening divisions began, and how they have eroded faith in authority – spawning conspiracy theories and creating ‘alternative realities’.",,Documentary,
Both,1993-01-01,"Snapshot from the life of two men, Gary and Jeff, who met in the street on a Sunday morning and now reflect on life and death. Both are gay and both are sero-positive. Shot in black & white in a uniquely economical style.",,,
God Complex,2017-05-12,"""God Complex"" is the CSULA Film Productions Spring 2017 Semester short film, directed by Bryan Lopez",Hitler laughs maniacally,Comedy,
Off the Rails,2021-07-23,"Now in their 50’s, three friends recreate an inter-rail journey across Europe, but this time 18-year-old Maddie is taking her mother’s place, fulfilling her dying wish. With lost passports, train strikes and romantic entanglements thrown in their way, they must put old feuds aside to complete the journey within five days and remind themselves that they are still at their peak.",Some trips stay with you for a lifetime.,Comedy,
Love Cut,,"The morning after sleeping together for the first time, Mia and Will are forced to confront their conflicted feelings for each other when Will accidentally stabs Mia.",,"Drama, Romance, Comedy","romantic comedy, melbourne, australia, dramedy, short film, sharehouse"
Cruise Hawaii & Tahiti,2003-01-01,"This video gives audience members a first-class ticket on cruises to six islands in Hawaii and French Polynesia. The ravishing scenery -- pristine beaches, lush forests, dormant volcanoes -- dominates the itinerary. Stops include Hawaii, Huahine, Kauai, Lanai, Maui, Molokai, Oahu, Bora Bora, Moorea, Raiatea, Rangiroa and Tahiti. A ""Top 10 Attractions"" special feature spotlights surfing at Waikiki Beach and swimming with sharks in Bora Bora.",,,
The Sheriff's Son,1919-03-30,"Sheriff's son Royal Beaudry is thought a coward, even by the young woman he has his heart set on. But he disproves cowardice when he rescues his father's friend from kidnappers.",,Western,
Break-In,2006-08-13,"Newlyweds travel to a Caribbean island to spend their honeymoon at an isolated mansion, but three men take the couple hostage during a robbery.",,"TV Movie, Thriller","infidelity, hostage, caribbean sea"
Lottery of the Sea,2006-01-01,"Iconoclast photographer and documentarian Allan Sekula unfolds a series of variations shot in the Netherlands, Spain, Greece, Japan and other maritime countries around two of his major obsessions: globalization and the sea. In this rumination on the sea as a ""primordial source of sublimity,"" Sekula explores a matrix of narratives--Greek myths, American movies, and stories of longshoremen, lost sailors and displaced populations--and rejects on the globalizing effects of Adam Smith's notion of the seafaring life as a form of gambling.",,,
Soldier's Keeper,,,,,
Heads and Tails,2023-09-25,The story of a high school relationship faced with insurmountable odds.,There are some choices you can't walk away from...,"Drama, Science Fiction","coin, relationship"
Trip to the Hills,2017-05-05,"Our hero, Rudi, goes on a trip in a dream. He takes a walk in the afternoon sunshine in flowery fields that are in constant transformation.",,"Animation, Music, Comedy",
Ang Teacher Kong Bampira,,"""Gaga pala ah? Saan mo 'to gustong makarating?""  The vampire got mad.",,,
Doomtree: Blowout,2008-01-10,"The first DVD from Doomtree Records. Over 2 hours of content including, live performance footage, music videos, documentary, promo videos, etc. Also includes a new full length False Hopes (False Hopes 13) album from Doomtree featuring unreleased tracks from every member.",,,
Love on Wheels,1932-07-26,A department store assistant becomes publicity conscious.,,"Comedy, Music",
Chandramuki Pranasaki,1999-03-31,Chandramuki Pranasaki movie is based on triangle love story. In which ramesh loves prema but bhavana loves ramesh. She is replying for his letters instead prema. Finally they both will unite.,,Romance,
A Very Sonic Christmas,2024-12-11,"An injured Santa Claus visits Sonic, Tails and Knuckles. As he is unable to deliver presents, he sends Team Sonic out to deliver all the Christmas presents to everyone around the world.",An instant Christmas classic.,"Animation, Adventure, Comedy","christmas, sonic cinematic universe"
The Cellar,1989-11-04,"A young boy finds an ancient Comanche monster spirit in the basement of his home. His parents don't believe him, so he must kill the monster alone.",It's your worst nightmare and it's in... The Cellar!,Horror,"monster, cellar, gore, native american, evil spirit, demon, based on short story, supernatural power, american indian"
How to Vote,1936-09-04,"A candidate has laryngitis, so his assistant must make a speech in his place. Both the speaker and his audience are soon befuddled.",,Comedy,
Buster Brown Picks Out the Costumes,1914-11-04,Buster Brown tosses a goat into the mix and pandemonium ensues.,,,
Wah Re Ye Duniya,2012-01-01,"Indian film starring Mustaq Khan, Himani Shivpuri, Dinesh Hingoo, Junior Mehmood, Milind Joshi, Nishant Sharma, Bhabee Gandhi Etc.",,,
Goodbye Mama,,"Abigail, a resilient 9-year-old girl, assumes the role of caregiver for her depressed mother, desperately hoping to keep their fragile family intact during a visit from their social worker. As Abigail skillfully conceals her mother's struggles, she soon discovers the heavy burden of responsibility that threatens to steal away her own childhood",,,
The Nomadics,1991-12-31,"In his Video Griots Trilogy, Jenkins creates a series of video meditations on history and culture. Using archival footage, photographs, image processing, and an elegiac soundtrack, he pulls together diverse strands of thought to construct an ""other"" history. ""The Nomadics"" takes a sweeping overview of peoples from across the world and develops an intuitive and aesthetic sense of history which can posit a global identity amongst people of color.",,,
Mind of Modernism,2021-08-24,"Mind of Modernism brings you on a meditative and smooth journey through Norwegian architecture. In this film, Paul Tunge and photographer Egil Håskjold Larsen venture out into the public and into rooms, to explore modernist buildings in Norwegian society. This audiovisual journey is composed of three short films: Ad Astra, Bauta and Platform. In Ad Astra you will see brutalist church architecture, which is in stark contrast to the traditional church we all know. In Bauta you will soar around Oslo and observe concrete public buildings, while in Platform you will enter modern villas. Sound and image exist in a calm (but also chilling) symbiosis in this portrait of modernistic buildings.",,Documentary,
Black Mirror,2012-03-20,"It's been five years since James has seen his reflection. In order for James to face his past, he must let another young man into his life and let that young man's love heal his five year old wound.",,Drama,
Seth et Holth,1993-09-29,"Seth et Holth is a Japanese film released on September 29, 1993, best noted for starring musicians hide and Tusk. The film is based on an original short story by hide and features the tragic plot of two beings from a different plane of existence coming to earth, specifically Tokyo, and being overwhelmed by the city' sensory overload. The two communicate through swapping blood, and are persecuted and executed.",,Fantasy,hide
At First Sight,2013-04-04,Charts the turbulent relationship that brings a passionate couple to crossroads as they are forced to question their future together.,,Romance,
Mother Midnight,2022-06-23,"Twenty-something Jiwon attempts to deal with the loss of her mother and her father's worsening drinking. Faced with a violent neighbour threatening the family and complicated love life, she accepts the aid of a local shaman.",,,appreciative
A Bloody Finger in Your Mouth,2017-12-05,A short documentary about the making of Twin Peaks: The Return. This time focused in the planing and technical execution of some particular scenes.,,Documentary,"dvd extra, extra material"
Trip Down King William Street,,A single take drive down King William Street at night. Filmed in 2021.,,,
The Unseen: Detroit Beat Tape,2017-02-01,"""The Unseen (A Detroit Beat Tape) explores the soul and roots of Detroit Hip-Hop production, mirroring the sketchpad-style format of a beat tape. Loosely acting as a prequel to the LA-based All Ears documentary, The Unseen provides rare insights into a scene that has remained distant from the public eye, while giving birth to some of the culture's richest and most influential sounds. The film [provides a] glimpse [into] the hidden and elusive characteristics inherent in a city often depicted in a one-dimensional light."" - Gus Sutherland",,,
The Lame Ranger,2023-08-05,"When the self-conscious villain known only as the Red Scarf begins terrorizing local saloons, town drunk and local hero the Lame Ranger and his trusty sidekick Best Buy must use all their wits to stop him and defend the Wild West.","HE’S NOT HEROIC, HE’S DEFINITELY NOT COOL, BUT ONE THING IS FOR SURE…HE’S LAME!","Western, Comedy, Adventure, Action","parody, wild west, low budget"
Dela,2018-06-06,"Dela lives on the island of Itaparica with her father, Agenor. At the new school, classmates find his name strange and his hair weird. The girl questions her father, and the story he tells changes the way she sees herself!",,,
Jack Sholder: Pre Renegades - Post Renegades,2018-04-12,Director Jack Sholder tells the story behind Renegades (1989),,Documentary,"interview, making of"
A Bitch,2011-02-08,One woman throws another woman's prosthetic limb into the ocean.,,"Comedy, Drama",
Art and Seeing,1953-01-02,Film by Allen Downs.,,,
The Dogwalker,2002-03-03,"The L.A. dog walking scene provides a colorful backdrop for the story of Ellie Moore, damaged goods on the run from her latest abusive boyfriend and on the verge of transformation. She's helped along in that process by Betsy Wright, a misanthropic dog-walker in need of help with her business and struggling with her own dark past.",,Drama,
Personals,1990-02-28,"A woman that during the daytime is an insignificant librarian, at night becomes a fascinating mysterious dark lady. She uses the personal advertisements on the newspapers to obtain appointments with men then kills them. These murders last until the wife of one victim decides to investigate. Written by Paola Vaccari",The dating scene is murder,"TV Movie, Thriller","widow, femme fatale, murder"
Kuebiko,2021-11-20,,,,
Still Lives,2016-02-26,"'Still Lives' comprises a trilogy of films by Patrick Sheard; Lamenta, Libertas and Exitus, anthologized here in their entirety.",,Documentary,"essay film, city symphony"
The Boy and the Bard,2012-05-19,"The Boy and the Bard is simply a amazing short film creation. A short film that you most definitely can't stop watching even though it's 3 min you can watch it again and again. The short film tells a story of a boy and his imaginary friend. This one is a must watch even if you're a fan of Halloween Movies, Halloween Short Films etc. if you're in a mood for something good to watch for short period of time. Click play on The Boy and the Bard you will be amazed. A great performance by Trevor Standish he was incredible. Also a great performance and great work by Dave Campbell, Will Morris, and the entire crew.",It's time to pay the piper...,Horror,short film
Dave Courtney's Underworld,2000-12-19,"David Courtney is an English self-proclaimed former gangster who has become celebrity figure and author. This documentary series profiles Courtney, following the launch of his celebrity career, as well as his trial for involvement in a police corruption case.",,Documentary,
ipsae (abi),2021-01-01,"Super-8mm short that is part of Blanca García's ipsae series. ipsae i ii is the diptych comprised of ipsae (abi) and ipsae (guillermina), which explores intergenerational identity.",,,
The Butterfly Effect 2,2006-08-17,"After his girlfriend, Julie, and two best friends are killed in a tragic auto accident, Nick struggles to cope with his loss and grief. Suffering from migraine-like seizures, Nick soon discovers that he has the power to change the past via his memories. However, his time-traveling attempts to alter the past and save his one true love have unexpected and dire consequences.",Can you change your past without destroying your future?,"Drama, Science Fiction, Thriller","suicide, brain tumor, underwear, time travel"
嫦娥奔月,,The classic story of Hou Yi (后羿) and Chang E (嫦娥) from Chinese mythology brought to life for modern audiences with a new cast of supporting characters.,,,
Into The Unknown,2024-11-21,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom",,,
The Winklers,,An blue collar guy who keeps his emotions to himself learns to open up while living with his in-laws.,,,
The Vacuum,,Beware of the vacuum.,,,
Imagination,2017-01-01,A paper cut-out stop-motion animation where the protagonist visits an exhibition of Matisse-inspired paper cuts in her pink wheelchair and is transported from the reality of the dull grey world outside into the colourful world of her imagination.,,Animation,"bodily disabled person, disability, paper cut, magritte"
Fire Flower,2023-09-15,"When Ruby is spirited to a religious sect leader's commune for a hasty arranged marriage, she learns that things with her prospective partner may be more complicated than she imagined.",,,
We Make That Lemonade,2014-11-22,"We make that lemonade is a short music video by the actors of Nicky, Ricky, Dicky, and Dawn.",,"Comedy, Music",
Three Little Sisters,1944-07-31,"The three Scott sisters, Susie, Hallie and Lily, live in the small town of Riverdale with their father Tom, a handyman whose laziness is legendary. The high-spirited sisters relieve the tedium by collaborating on Lily's correspondence with Pvt. Robert Mason, who is stationed in Arizona....","An eyeful for any ""G.I.""","Comedy, Romance","marine, soldier, sailor"
The Ride,2018-04-27,"The story of John Buultjens, who has dedicated his life to the sport of BMX.",You can't soar until someone lifts you up.,Drama,
Casi te pierdo,,,,,
Pool,,"A rideshare Driver picks up a charming passenger, but in the course of the ride, the Driver finds that not everything is as it seems.",Life's too short for a boring ride,,
Goodnight Irene,2008-05-15,Two solitary men embark on a journey to find a missing woman...,,"Comedy, Drama",
Black Kites,1996-07-18,"Based on 1992 journals of Bosnian visual artist Alma Hajric who was forced into a basement shelter to survive the siege of Sarajevo, Black Kites skillfully merges the reality-based content of her journal with interpretive visual material to reveal the simple, sometimes beautiful, yet brutal truth of her existence. Non-linear, dreamlike and spectral, Black Kites is a testament to artistry, imagination and the resiliency of the human psyche. Features sensitive performances by Steve Buscemi, Mimi Goese and Mira Furlan, a prominent actress from the former Yugoslavia, as the narrator.",,,
Recovery,,Three survivors personal accounts of their journey of recovery through sexual assault.,,,
Presence,2024-01-02,A short film.,,,
VeggieTales: The Ballad of Little Joe,2003-08-17,"Join Little Joe and his rootin' tootin' French pea brothers on an adventure that will take them from an abandoned mineshaft all the way to Dodge Ball City--with Little Joe's faith being tested every step of the way!  It's a Wild West yarn that teaches us to keep the faith when facing hardship because, in the end, god can work all things out for good. Yee-haw!",A Lesson in Facing Hardship,"Family, Animation, Adventure, Western, Drama, Comedy, Fantasy","friendship, dream, brother, vegetable, cowboy, wild west, hardship, singing cowboy"
Paul McCartney at the Cavern Club,2020-12-25,"Paul McCartney's barnstorming 2018 performance at Liverpool's Cavern Club, where his career with the Beatles started out.",,Music,
Michael Jackson's Private Home Movies,2003-04-24,,,Documentary,
Vanities,1979-01-01,"Part 3 of a trio of pieces titled Lives. ""Vanities"" was performed for the camera.",,,
Avenged Sevenfold: Live in the LBC,2008-09-16,"Live in the LBC & Diamonds in the Rough is the first live album and DVD package released on September 16, 2008 by Avenged Sevenfold from Warner Bros. Records. The live DVD features the band's April 10, 2008 hometown show at Long Beach Arena headlining the Rockstar Taste of Chaos tour, while the CD contains previously unreleased B-sides that were recorded during the making of Avenged Sevenfold, plus various covers, and other never-before-heard material. The DVD was directed by Core Entertainment's Rafa Alcantara, who also worked on the band's critically acclaimed 2007 road documentary All Excess. On August 15, 2008, a trailer was released by Avenged Sevenfold on their YouTube channel. On September 5, 2008, Avenged Sevenfold released the live version of ""Seize the Day"" from the DVD through their imeem account. ""Unholy Confessions"" and ""Scream"" were later streamed before the release as well.",,Music,
Deadly Drifter,1982-01-01,"A self-styled ""urban guerrilla"" in Greenwich Village is sent on various assignments across the country by a mysterious ""commander.""",An explosive plot against the government.,"Drama, Mystery","conspiracy, post modernism"
Three Deaths,2020-01-23,Three strangers confront death in a modern interpretation of a Tolstoy short story.,,Drama,short film
Round and Round – Phenakistoscope Phun,2012-04-16,A scanned and spinning document of roughly forty phenakistoscopes made from discarded cardboard. Complete with digital scan glitches and singing by Perry Como.,,,woman director
Sporting Chance,1975-01-01,"Life in the fast lane becomes deadly for Wilde and Sinclair when the mob tries to ""fix"" the sport of high-speed racing. Wilde then finds himself mixed up with lady luck and a network of communist killers.",,"Action, Adventure, Comedy, Mystery",
Knucklebones,2016-08-27,A group of bored college students unleash a murderous demon while playing a dice game made from human knucklebones.,Roll Them Bones,"Horror, Thriller","suicide, amputation, texas, carnival, bone, game of dice, revenge, slasher, chainsaw, demon, game, knuckles, dice"
The Best Christmas Pageant Ever,1983-12-25,"This is a made for tv adaptation of Barbara Robinson's novel The Best Christmas Pageant Ever. Loretta Swit of M*A*S*H stars as Grace Bradley who inherits the job of running her church's Christmas pageant when the woman who usually does it breaks her leg tripping over the extremely long wire she has on her telephone.Not only does Grace inherit this disaster it gets worse when the Herdman kids - all six of them. The Herdmans are notorious for abusing each other and stealing from and abusing other kids as well. They smoke, steal, lie, bully and generally create havoc in their town.Their father disappeared years earlier and mother works two shifts at the shoe factory to support herself and the kids while the kids run wild.But this WILL be the best Christmas pageant ever when the Herdman kids learn the Christmas story and about the true meaning of Christmas.",,"Comedy, Family","holiday, bullying, dysfunctional family, juvenile delinquent, based on children's book, child neglect, community spirit, christmas, petty theft, community theater, christmas pageant"
A Night Out,1967-02-13,"Albert, a shy and repressed young man who lives with his mother, is persuaded to go for ""a night out"" with his workmates; it turns nightmarish.",,,
Search and Destroy,1979-07-05,The hunter becomes the prey as a Vietnam veteran (Perry King) tries to ferret out the real culprit after being tagged as the prime suspect in the murders of his former Army pals.,Five lives… Ten years… And a Million Tons of Thundering Suspense!,"Action, Thriller, War","vietnam veteran, niagara falls, murder, vendetta"
From Runes to Ruins,2014-04-01,"From Runes to Ruins is the first ever documentary film about Anglo-Saxon paganism. All over Britain there are people whose lives are influenced by the largely forgotten culture of the Anglo-Saxon barbarians who founded England. Thomas Rowsell reveals a forgotten aspect of English history that many are oblivious to, by uncovering paganism in runes and ruins.",,"History, Documentary, TV Movie",
A Christmas Carol,1982-07-31,"In this timeless Charles Dickens Story, Ebenezer Scrooge, a mean, miserly merchant, lacking in any Christmas Spirit, receives ominous warnings from the ghosts of Christmas Past, Christmas Present and Christmas Future as they each take him on strange and magical journeys to show him that even the poor, the crippled and the sick are rich in love and goodwill at Christmas time - an experience that will change Scrooge forever.",,"Animation, Family","holiday, christmas, classic cartoon"
Twinbee PARADISE: WinBee's ⅛ Panic,,"Pastel has been reduced in size after eating a batch of cookies containing a formula made by Dr. Mardock. There's little time before the ""Miss Donburi"" contest starts, and the cloud bells, which have the necessary power for restoring Pastel to her normal size, have been stolen by the legendary island ghost. The TwinBee Team sorts to retrieve them before time runs out!",,,
George Michael: A Different Story,2004-11-27,"Documentary about George Michael  It follows Michael's life from joining Wham! in 1981, to the present-day covering his career as a solo artist including personal and professional gain and loss. The film is a British venture produced by Aegean Films with Gorilla Entertainment Limited serving as distributor.",,Documentary,
Asbury Park,2021-11-24,"We're in the midst of a revolution. With protests and uprisings taking place all over the world in the name of justice, we find ourselves in a time where the world is finally ready to hear the voice of the inner city. Asbury Park echoes that voice, revealing a tale of injustice through the eyes of four inner-city youths. They dream of making it out of the hood, but in order to survive, they'll be forced to choose between being law-abiding citizens and doing what's right.",,Drama,
Def Leppard: Visualize,1993-10-05,"Visualize is a video release by Def Leppard. A compilation of promo videos, interviews, and concert footage.",,Music,
Metalocalypse: Army of the Doomstar,2023-08-22,"After the heroic rescue of Toki Wartooth, DETHKLOK frontman Nathan Explosion finds himself traumatized in a BRUTAL professional and romantic flat-spin all while he is tasked with fulfilling the prophecy and confronting the ultimate songwriting challenge: write the SONG OF SALVATION and save the planet. Can Nathan Explosion look beyond his brutally damaged ego to save his band, stop the Metalocalypse, and finally face the ultimate evil: Salacia?",It will be brutal.,"Animation, Comedy, Music","apocalypse, adult animation, based on tv series, music, rock-and-roll"
Black Cat Run,1998-09-18,"A girl is in love with a gas station attendant and sees him against her father's wishes. The father is the sheriff and shortly after a confrontation with the boy friend, he is killed by escaped convicts and the daughter is kidnapped. Everyone, including the deputy, is convinced that the boy friend committed the murder and ran away with the girl. This sets up a chase of the convicts by the boy friend and of the boy friend by the police.","Four desperate convicts, one beautiful hostage.","Action, Mystery, Thriller, TV Movie","gas station, hostage, escaped convict, mexican border"
The Chosen,1981-08-20,"In a 1940s New York, two Jewish teenage boys are determined to remain friends despite the deep differences between their two families.",One boy. Two worlds. A time to choose.,Drama,"friendship, teenage boy, jewish culture, father son relationship"
Lucky Number,,,,,
Hammerhead Shark,,The hammerhead shark wants to dance at the shark party but his dancing is hammer hard and wild.,,,
The School Day,,,,,
PROGRESS Chapter 83: Remove Child Before Ironing,2019-01-20,"Chapter 83, from the Electric Ballroom in London",,,
Un drama en la aristocracia,1926-01-01,,,,
The Lies We Tell,2021-08-22,"As tensions from a toxic relationship resurface, an urban teenager finds herself solving the mystery behind her ex-boyfriend’s death.",,"Drama, Mystery, Crime",
homeland,,,,,
A Hunger Artist,2021-01-01,"The hunger artist creates his necessary show in a symbiosis with those who watch him, who validates and consumes it, demands skills, virtuosity in his circus act of hunger, and the artist thus understands and obeys his audience.",,Animation,
Nightmare Alley,2010-08-10,Cheap thrills! It’s bargain basement horror time: A gory anthology of seven separate tales of terror.,,"Horror, Comedy",
Zerogon,,"A lonely creature, on a lonely planet, abducted into the false allure of a computer generated world.",,"Science Fiction, Animation, Comedy",
A Different Score,,"Ngbanzo’s directorial debut is the first documentary devoted to the life and work of the late composer, pianist, singer, and pioneer of musical minimalism Julius Eastman. Previously unseen interviews and recordings from Eastman’s archive reveal the political dimension of Eastman’s practice, while extensive footage of Devonté Hynes rehearsing and performing a selection of Eastman-penned pieces offers an exhilarating showcase for the work of this still-too-little-known 20th-century master.",,"Documentary, Music",
Was it a Dream,2020-10-17,"Based on the short story of the same name by Guy de Maupassant. Was It a Dream? fallows a grieving young man visiting a graveyard. However, things do no go as planned upon arrival.",,Horror,
Tales Beyond the Galaxy,2024-12-01,"Space Vessel Iris and its crew encounter a troubling discovery as they embark to what they believe to be an uninhabited planet. After a devastating tragedy, an astronaut struggles to complete his interstellar mission to rescue a lost crew. A brilliant young woman on a four year mission to an alien planet finds herself remembering her childhood and facing her inner demons. An astronaut on the Goldilocks Missions, searches the stars for a new home, when a circuit failure in his ship threatens to jeopardize the mission. Two elite astronauts wake up in the abyss of space attempting to return to their stranded ship.",,"Science Fiction, Action",
Naked Tongues,2019-05-11,Queers using their queer bodies as creative vessels and political tools on the naked word spoken scene in London.,,Documentary,
Yorktown,2011-11-09,"""Yorktown"" is a 1970's inspired thriller/horror film that takes place in the City of Yorktown. It's about a group of eight friends that upon hearing of Yorktown Memorial Hospital from an ill guided bar patron, played by actor/comedian and NBC's Last Comic's Standing finalist Dante, the group decides to take a road trip to the haunted location and ""investigate"", despite the heeded warnings from the bartender, played by actress Rebekah Kochan. What they don't realize is that someone has taken up residence in the building and someone is trying to revenge a death. When you don't pay attention to your friends, bad things happen. The movie takes a traditional plot and adds modern social elements with a plot twist.",It's not just ghosts that make you scream,,
Animals Running,1974-08-01,"A continuous stream of animals from bison to splinters of fishes.  ""[A] serenely beautiful ... study of animal life in continual movement - bees swarming, birds in flight, deer running. Photographed in high-contrast black and white, ANIMALS RUNNING is like a series of engravings come to life and its sense of delicacy is heightened by what sounds like rippling xylophone sounds."" - Kevin Thomas, The Los Angeles Times",,,
Fugaz,,"The instant that changes everything. When a new dream asks to become reality, there is no other way but to let oneself be carried away by its force; a long-distance race as definitive as it is inevitable. Not even the farthest of goals prevents us from trying to reach it with the eyes of the dreamer.",In the dreamer's eyes,Drama,
The Joy of ABBA,2013-12-12,"Combining European musical influences, perfect production and lyrics of love and loss, ABBA made us fall in love with the sound of Swedish melancholy. This documentary explores the music of ABBA and chronicles how they conquered both Sweden and Britain in the face of constant criticism.",,"Documentary, Music",pop music
Box,1976-01-01,8mm film by Swiss artist Roman Signer.,,,
Photographer Fay Godwin Documentary,1986-11-09,This film follows the renowned photographer Fay Godwin on location with her camera complete with extensive interviews and analysis. She loved the countryside in all its raw beauty rather than the sugar-coated image so often portrayed in the coffee table books of the time.,,Documentary,"photographer, photography"
He Popped His Pistol,1953-05-14,Vernon and Eddie run a shoe-store.,,Comedy,
Stuck,,"Noah - an 18-year-old photographer, gets the opportunity to move away and leave home. But, when the deadline for his portfolio submission approaches, he is faced with the reality of leaving his best friend Dylan behind.",Noah and Dylan are inseparable.,Drama,
Sex & Mrs. X,2000-04-10,"Joanna is a woman secure in the knowledge of who she is: a perfect wife, a successful magazine journalist and a woman who's just celebrated her 10th wedding anniversary with her husband, Dale. But when Dale suddenly leaves her for another woman, Joanna's world collapses. Her self-esteem shattered, Joanna questions her attractiveness as a woman and her value as a human being. How did this happen to her? Follow Joanna as she escapes to Paris and learns the many secrets of seduction under the tutelage of Madame Simone. Slowly, empowered by her newfound knowledge and self-confidence, Joanna comes to understand her true self-worth.",,"Drama, Comedy, TV Movie","infidelity, journalist, seduction, self esteem"
A Billionaire Hired Me To Date His Son,,"Artemis, an aspiring detective is hired to to be the bodyguard of a criminals son.","Sorry, it's just a reflex.",Romance,love
Venus DIE-Trap,,"On the tranquil coastal plains of North Carolina, a meteor crash triggers a chain of events straight out of a B-movie nightmare. Mysterious ooze from the meteor seeps into the soil, transforming the once harmless venus fly traps into towering, carnivorous monstrosities. As chaos descends upon the unsuspecting town, a determined botany student and a skeptical rookie deputy must unite to confront the growing menace. Together, they embark on a perilous quest to unravel the mystery behind the mutations and save their community from the clutches of the ravenous Venus DIE Traps. With its blend of retro charm, suspenseful thrills, and campy humor, ""Venus DIE Trap"" will take audiences on a wild ride reminiscent of the classic monster movies of the 1950s and 1960s.",,Horror,
Der letzte Wurf,,,,,
Beautiful by Night,2014-01-01,"A documentary following three older drag entertainers at Aunt Charlie's Lounge in the Tenderloin area of San Francisco. The film explores the rituals of these performers' transformations, along with themes of ageing, labor, and self acceptance. Featuring Collette LeGrande, Donna Personna, and Olivia Hart.",,Documentary,"san francisco, california, drag queen, aging, lgbt, tenderloin, short film"
Adhe Prema,2018-01-01,"Film with a soundtrack featuring the music of Kishan Khavadiya , Anjana Sowmya and more!",,,
Pregnant Pause,2016-10-19,"Steph is in a happy, long-term relationship, but now she might be pregnant she has no idea what she wants.",Pee. Wait. Panic,"Romance, Comedy, Drama",
Fatherspy,,Film by Humberto González Bustillo,,,
S.A. Sanctuary: Cultivating Misery,2002-03-28,"S.A. Sanctuary - Cultivating Misery, is a live DVD filmed during March 2002. Photosensitive Seizure Warning due to flashing images or lights.",,,
Justice,2003-05-08,"A comic strip writer in NYC, still grieving over the death of a friend in 9/11, gets his publisher to agree to a limited run of ""Justice"", a comic book about an ordinary person who is a hero.",,,
The Virginian,1929-11-09,A good-natured cowboy who is romancing the new schoolmarm has a crisis of conscience when he discovers his best friend is engaged in cattle rustling.,"""You don't think I want to do this Molly? But you won't ask me to run away - """,Western,schoolmarm
Key Largo,1948-07-16,"A hurricane swells outside, but it's nothing compared to the storm within the hotel at Key Largo. There, sadistic mobster Johnny Rocco holes up - and holds at gunpoint hotel owner James Temple, his widowed daughter-in-law Nora, and ex-GI Frank McCloud.",A storm of fear and fury in the sizzling Florida Keys!,"Crime, Thriller","hotel, florida, war veteran, gangster, widow, hurricane, florida keys, wheelchair user   , film noir, alcoholic, humiliation, death, intimidation, charter boat, nightclub singer, henchmen, moll, local indians"
ADAM 606,2022-06-10,"A documentary I made on police officers/law enforcement for final film class assignment in college. Shot on location in Spokane Valley, Washington.",Do you know what it's really like to be a cop?,,"police, cop"
Shades of Bali,,"The Indonesian island of Bali is a dream locale which consistently draws traveling surfers from all corners of the globe. Throughout the last 5 years, videographer Pete Matthews has been documenting the epic waves and diverse landscape that grace this special Indian Ocean isle. Matthews has captured the world's best surfers along with the lifestyle and essence of four locals who appear more than ready for the world stage.",,,sports
Nishan,1949-01-01,Details  Country of origin  India  Language  Hindi,,,
Two Snakes,,"An experimental animation and documentary about diasporic desires for foundational myths. Seeking a home in reclaiming ones' ancestry and seeking a self in reappropriated narratives. What is found is an identity, one that is fragmented, but open. Features a soundtrack by Julie Matson.",,,
23 1/2 Hours' Leave,1919-11-16,"Brash young Sgt. Gray makes a bet that he can have breakfast with his commanding general. But a couple of enemy spies, intent on infiltrating the training camp, get in the way of Sgt. Gray's plans.",,Comedy,
